Date,Rainfall (mm),Tmax (°C),Tmin (°C),ET (mm/day),Ra (mm/day),Latitude,Longitude,Station
2000-01-01,0.0122068,25.7,16.3,2.7940867195804513,10.212131363335555,21.445354,-158.181649,2K Farm LLC
2000-01-02,0.0575635,26.3,17.0,2.8309600807697937,10.230984521088095,21.445354,-158.181649,2K Farm LLC
2000-01-03,0.0240317,27.0,17.3,2.9336520191959696,10.251280359471927,21.445354,-158.181649,2K Farm LLC
2000-01-04,0.00618691,27.2,18.3,2.858323151897976,10.273008066792041,21.445354,-158.181649,2K Farm LLC
2000-01-05,0.0850153,27.6,19.6,2.772989881120256,10.296156002424967,21.445354,-158.181649,2K Farm LLC
2000-01-06,0.491645,27.4,19.7,2.7236942823042445,10.320711701204305,21.445354,-158.181649,2K Farm LLC
2000-01-07,0.27602,26.8,20.4,2.492403893458899,10.346661878284188,21.445354,-158.181649,2K Farm LLC
2000-01-08,0.0432206,26.9,20.2,2.5537987978410857,10.373992434499902,21.445354,-158.181649,2K Farm LLC
2000-01-09,0.0882105,26.6,19.8,2.5580659775982793,10.402688462245504,21.445354,-158.181649,2K Farm LLC
2000-01-10,0.078459,26.2,20.2,2.409824763344976,10.432734251888334,21.445354,-158.181649,2K Farm LLC
2000-01-11,0.0316913,26.5,20.8,2.381728382108587,10.464113298740633,21.445354,-158.181649,2K Farm LLC
2000-01-12,0.338973,26.1,20.0,2.435802549588694,10.496808310608161,21.445354,-158.181649,2K Farm LLC
2000-01-13,0.309737,26.1,18.7,2.648690195122872,10.530801215935734,21.445354,-158.181649,2K Farm LLC
2000-01-14,0.112962,26.4,19.2,2.647486362980038,10.566073172569158,21.445354,-158.181649,2K Farm LLC
2000-01-15,0.418464,25.6,19.6,2.4132226400497836,10.602604577152542,21.445354,-158.181649,2K Farm LLC
2000-01-16,0.327555,25.1,19.2,2.3748028567092434,10.640375075179389,21.445354,-158.181649,2K Farm LLC
2000-01-17,0.260609,24.6,18.7,2.3536735203837034,10.679363571715031,21.445354,-158.181649,2K Farm LLC
2000-01-18,0.828645,24.5,17.9,2.470249920288392,10.71954824280713,21.445354,-158.181649,2K Farm LLC
2000-01-19,2.32659,23.5,17.3,2.354159605606029,10.760906547599852,21.445354,-158.181649,2K Farm LLC
2000-01-20,1.38692,23.5,17.7,2.2979158788178786,10.803415241166173,21.445354,-158.181649,2K Farm LLC
2000-01-21,0.717695,22.9,19.0,1.9091651756774373,10.847050388071503,21.445354,-158.181649,2K Farm LLC
2000-01-22,0.0796952,23.5,18.5,2.1734202968680565,10.891787376680297,21.445354,-158.181649,2K Farm LLC
2000-01-23,0.0205686,23.6,17.2,2.43110244286149,10.937600934215885,21.445354,-158.181649,2K Farm LLC
2000-01-24,0.104734,24.2,15.2,2.8422303556431006,10.984465142582032,21.445354,-158.181649,2K Farm LLC
2000-01-25,0.0842721,24.5,14.5,2.9929870321697996,11.032353454953043,21.445354,-158.181649,2K Farm LLC
2000-01-26,1.63857,24.6,15.6,2.8978547358725466,11.08123871313734,21.445354,-158.181649,2K Farm LLC
2000-01-27,0.532312,24.6,17.5,2.6502439469091827,11.13109316571751,21.445354,-158.181649,2K Farm LLC
2000-01-28,0.00789168,24.4,19.0,2.360679172638937,11.181888486967905,21.445354,-158.181649,2K Farm LLC
2000-01-29,0.00284476,25.3,17.6,2.8140489837642453,11.233595796548661,21.445354,-158.181649,2K Farm LLC
2000-01-30,0.0185864,25.5,16.6,3.008576462325062,11.286185679972956,21.445354,-158.181649,2K Farm LLC
